City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,9.39,94,100,2.93,US,1705572609
1,edinburgh of the seven seas,-37.0676,-12.3116,17.5,86,100,11.51,SH,1705572609
2,pingliang,35.5392,106.6861,0.0,83,98,2.48,CN,1705572610
3,ribeira grande,38.5167,-28.7,14.32,62,75,9.26,PT,1705572610
4,forster,-32.1667,152.5167,26.83,86,46,3.41,AU,1705572610
5,talnakh,69.4865,88.3972,-19.89,98,100,5.78,RU,1705572408
6,sitka,57.0531,-135.33,-1.06,47,0,2.06,US,1705572610
7,pisco,-13.7,-76.2167,22.03,83,100,4.12,PE,1705572610
8,badger,64.8,-147.5333,-22.05,77,0,0.0,US,1705572610
9,qaqortoq,60.7167,-46.0333,-2.42,69,100,6.77,GL,1705572610
10,flying fish cove,-10.4217,105.6791,24.82,94,75,4.63,CX,1705572610
11,ushuaia,-54.8,-68.3,5.62,94,100,2.67,AR,1705572611
12,shingu,33.7333,135.9833,14.01,88,97,2.09,JP,1705572611
13,puerto lempira,15.2667,-83.7667,24.95,89,8,3.86,HN,1705572611
14,jamestown,42.097,-79.2353,-5.23,64,100,7.72,US,1705572611
15,port-aux-francais,-49.35,70.2167,6.17,84,55,11.21,TF,1705572611
16,walvis bay,-22.9575,14.5053,19.49,64,76,4.34,NA,1705572370
17,east london,-33.0153,27.9116,21.75,62,84,5.23,ZA,1705572497
18,bredasdorp,-34.5322,20.0403,26.24,50,3,8.43,ZA,1705572611
19,waitangi,-43.9535,-176.5597,17.68,91,100,1.79,NZ,1705572611
20,blackmans bay,-43.0167,147.3167,13.07,89,100,4.21,AU,1705572409
21,hiratacho,35.4333,132.8167,10.51,93,100,6.46,JP,1705572611
22,hawaiian paradise park,19.5933,-154.9731,22.8,93,75,1.54,US,1705572410
23,iskateley,67.6803,53.1512,-12.21,93,100,7.6,RU,1705572611
24,vila franca do campo,37.7167,-25.4333,13.23,69,87,7.99,PT,1705572612
25,margaret river,-33.95,115.0667,19.8,74,82,4.65,AU,1705572612
26,albany,42.6001,-73.9662,-7.88,65,79,1.79,US,1705572399
27,punta arenas,-53.15,-70.9167,9.06,66,0,5.66,CL,1705572612
28,hamilton,39.1834,-84.5333,-4.51,55,0,4.63,US,1705572612
29,coquimbo,-29.9533,-71.3436,17.15,87,1,1.3,CL,1705572612
30,bilibino,68.0546,166.4372,-22.18,100,100,0.33,RU,1705572612
31,kavaratti,10.5669,72.642,26.17,80,98,4.05,IN,1705572612
32,luderitz,-26.6481,15.1594,21.11,68,5,6.0,NA,1705572612
33,daday,41.4787,33.4667,4.26,68,100,2.28,TR,1705572612
34,arkhangel'sk,64.5401,40.5433,-13.26,77,40,3.0,RU,1705572448
35,olonkinbyen,70.9221,-8.7187,-0.98,85,100,9.62,SJ,1705572613
36,melchor de mencos,17.0686,-89.1522,22.0,100,75,0.0,GT,1705572411
37,atafu village,-8.5421,-172.5159,29.59,70,88,7.84,TK,1705572613
38,dayr al balah,31.4166,34.3452,18.06,43,10,0.74,PS,1705572613
39,port blair,11.6667,92.75,30.02,70,40,5.66,IN,1705572521
40,qutqashen,40.9814,47.8458,2.11,82,73,1.77,AZ,1705572411
41,tateyama,34.9833,139.8667,13.39,67,97,9.96,JP,1705572613
42,antonio enes,-16.2325,39.9086,31.94,53,78,5.63,MZ,1705572613
43,lebu,-37.6167,-73.65,13.6,91,57,8.27,CL,1705572412
44,invercargill,-46.4,168.35,12.69,93,13,0.94,NZ,1705572613
45,yaren,-0.5472,166.916,29.32,72,100,1.83,NR,1705572613
46,fuglafjordur,62.244,-6.814,-1.74,56,100,14.47,FO,1705572613
47,la ronge,55.1001,-105.2842,-22.61,90,80,5.58,CA,1705572614
48,grytviken,-54.2811,-36.5092,1.21,74,79,4.56,GS,1705572549
49,nadi,-17.8,177.4167,27.0,89,75,3.09,FJ,1705572614
50,whitehorse,60.7161,-135.0538,-18.14,99,99,2.12,CA,1705572412
51,udachny,66.4167,112.4,-31.42,74,100,2.17,RU,1705572614
52,hammerfest,70.6634,23.6821,-9.75,67,0,1.54,NO,1705572614
53,ilulissat,69.2167,-51.1,-9.99,67,0,5.14,GL,1705572614
54,zhangye,38.9342,100.4517,-0.58,43,88,2.09,CN,1705572376
55,tsiombe,-25.3,45.4833,30.59,65,36,6.17,MG,1705572598
56,wailua homesteads,22.0669,-159.378,19.24,77,0,4.12,US,1705572614
57,bad kreuznach,49.8333,7.8667,0.4,90,100,3.54,DE,1705572596
58,abepura,-2.6333,140.5833,26.45,94,20,0.51,ID,1705572413
59,hithadhoo,-0.6,73.0833,27.84,73,99,6.04,MV,1705572614
60,port alfred,-33.5906,26.891,25.1,66,62,1.34,ZA,1705572614
61,bardai,11.65,7.2333,24.41,11,0,7.78,NG,1705572615
62,dudinka,69.4058,86.1778,-19.66,96,100,8.49,RU,1705572615
63,vilyuchinsk,52.9306,158.4028,-13.37,71,75,3.89,RU,1705572615
64,puerto natales,-51.7236,-72.4875,9.25,57,75,3.6,CL,1705572339
65,anadyr,64.75,177.4833,2.28,75,0,4.0,RU,1705572615
66,alness,57.696,-4.2551,-0.64,93,100,2.59,GB,1705572615
67,ko pha ngan,9.7578,100.0291,24.99,69,100,2.88,TH,1705572615
68,haiku-pauwela,20.9219,-156.3051,21.13,89,0,1.34,US,1705572615
69,ta`u,-14.2336,-169.5144,28.34,78,100,4.56,AS,1705572414
70,oita,33.2381,131.6125,13.6,91,100,1.09,JP,1705572499
71,kaa-khem,51.6833,94.7333,-31.44,100,54,0.83,RU,1705572615
72,essaouira,31.5125,-9.77,18.96,74,100,2.6,MA,1705572493
73,isafjordur,66.0755,-23.124,-7.98,73,75,9.77,IS,1705572393
74,manta,-0.95,-80.7333,26.67,78,99,4.92,EC,1705572395
75,yellowknife,62.456,-114.3525,-27.47,86,21,2.68,CA,1705572614
76,nuuk,64.1835,-51.7216,-0.66,74,0,3.09,GL,1705572616
77,longyearbyen,78.2186,15.6401,-18.09,55,20,12.86,SJ,1705572557
78,tralee,52.2704,-9.7026,-7.86,93,0,0.0,IE,1705572616
79,papatowai,-46.5619,169.4708,13.65,91,38,3.67,NZ,1705572616
80,pavlodar,52.3,76.95,-19.11,78,0,3.0,KZ,1705572616
81,codrington,-38.2667,141.9667,15.12,65,94,8.29,AU,1705572616
82,lata,40.1629,-8.3327,13.84,92,100,1.99,PT,1705572616
83,port mathurin,-19.6833,63.4167,27.61,79,79,10.19,MU,1705572616
84,soio,-6.1349,12.3689,29.4,66,48,1.26,AO,1705572617
85,enewetak,11.3474,162.3373,26.42,75,93,6.56,MH,1705572617
86,hermanus,-34.4187,19.2345,26.7,45,0,5.5,ZA,1705572617
87,adamstown,-25.066,-130.1015,23.82,80,98,6.43,PN,1705572617
88,elko,41.0002,-115.5012,-1.99,88,100,2.33,US,1705572617
89,nar'yan-mar,67.6713,53.087,-12.16,93,100,7.6,RU,1705572416
90,rio grande,-32.035,-52.0986,23.18,81,99,9.5,BR,1705572487
91,mapastepec,15.4333,-92.9,22.71,69,59,2.76,MX,1705572617
92,lihue,21.9789,-159.3672,19.58,77,0,4.12,US,1705572581
93,salinopolis,-0.6136,-47.3561,27.35,79,67,5.1,BR,1705572617
94,vilyuysk,63.7553,121.6247,-34.13,98,100,2.15,RU,1705572617
95,mana,5.6592,-53.7767,24.97,89,74,5.2,GF,1705572617
96,selkirk,50.1436,-96.8845,-23.28,86,43,1.34,CA,1705572617
97,paradise point,-27.8863,153.3957,27.76,90,100,2.24,AU,1705572417
98,vernon,50.2581,-119.2691,-13.2,98,66,0.69,CA,1705572618
99,progreso,21.2833,-89.6667,22.28,91,57,3.5,MX,1705572618
100,khorixas,-20.3667,14.9667,27.53,13,7,3.8,NA,1705572570
101,bodo,67.28,14.405,-6.98,53,0,10.8,NO,1705572592
102,dryden,49.7833,-92.7503,-23.57,100,91,1.84,CA,1705572618
103,kapuskasing,49.4169,-82.4331,-22.96,99,64,1.82,CA,1705572618
104,saipan,15.1355,145.701,24.39,73,100,9.77,MP,1705572618
105,haimen,23.1935,116.6142,18.13,80,3,3.08,CN,1705572586
106,new norfolk,-42.7826,147.0587,13.73,89,100,1.95,AU,1705572618
107,pechora,65.1472,57.2244,-8.97,91,100,7.15,RU,1705572618
108,luwuk,-0.9516,122.7875,27.67,77,97,1.42,ID,1705572618
109,bethel,41.3712,-73.414,-6.25,66,0,0.45,US,1705572454
110,chibougamau,49.9168,-74.3659,-21.21,84,0,1.54,CA,1705572619
111,la passe,45.5549,-0.8967,5.13,87,100,4.9,FR,1705572619
112,stanley,54.868,-1.6985,-1.23,83,0,4.63,GB,1705572619
113,rabigh,22.7986,39.0349,24.57,45,1,3.33,SA,1705572619
114,bengkulu,-3.8004,102.2655,25.62,90,100,4.08,ID,1705572619
115,mount isa,-20.7333,139.5,24.87,100,75,3.09,AU,1705572619
116,keflavik,64.0049,-22.5624,-5.76,93,100,8.23,IS,1705572619
117,tofol,5.3248,163.0078,27.13,83,100,8.01,FM,1705572619
118,santo augusto,-27.8508,-53.7772,20.66,98,96,3.69,BR,1705572619
119,north bend,43.4065,-124.2243,11.71,93,100,3.09,US,1705572620
120,thompson,55.7435,-97.8558,-18.96,95,100,3.39,CA,1705572466
121,west island,-12.1568,96.8225,29.99,70,100,6.17,CC,1705572620
122,crucecita,-28.95,-58.9833,22.13,96,100,1.6,AR,1705572620
123,grand falls-windsor,48.9332,-55.6649,-5.28,69,85,2.24,CA,1705572419
124,tiksi,71.6872,128.8694,-30.17,94,100,7.92,RU,1705572352
125,ankang,32.68,109.0172,3.86,96,100,1.8,CN,1705572620
126,okhotsk,59.3833,143.3,-27.62,81,100,3.9,RU,1705572420
127,punta del este,-34.9667,-54.95,21.06,92,20,3.6,UY,1705572620
128,saint-pierre,-21.3393,55.4781,28.82,70,0,5.14,RE,1705572518
129,kruisfontein,-34.0033,24.7314,24.94,50,54,8.21,ZA,1705572620
130,port isabel,26.0734,-97.2086,12.02,82,100,0.0,US,1705572382
131,oranjemund,-28.55,16.4333,24.4,54,2,4.31,NA,1705572620
132,afaahiti,-17.75,-149.2833,24.93,79,45,8.05,PF,1705572621
133,constitucion,-35.3333,-72.4167,13.16,75,0,3.16,CL,1705572621
134,remire-montjoly,4.9167,-52.2667,27.02,83,40,4.63,GF,1705572621
135,camana,-16.6228,-72.7111,22.66,86,100,0.77,PE,1705572621
136,tomatlan,19.9333,-105.25,21.55,80,100,0.91,MX,1705572421
137,argo,37.6333,22.7333,17.66,57,92,1.87,GR,1705572621
138,vadso,70.0744,29.7487,-8.51,79,40,6.17,NO,1705572621
139,swift current,50.2834,-107.8014,-22.55,77,100,6.17,CA,1705572421
140,galliano,29.4422,-90.2992,6.0,87,100,3.26,US,1705572421
141,hami,42.8,93.45,-0.6,57,97,2.73,CN,1705572621
142,cockburn town,21.4612,-71.1419,25.72,81,1,8.62,TC,1705572421
143,aasiaat,68.7098,-52.8699,-15.23,100,100,2.62,GL,1705572421
144,avarua,-21.2078,-159.775,26.03,89,40,6.69,CK,1705572621
145,kralendijk,12.15,-68.2667,26.96,70,6,9.93,BQ,1705572622
146,kodiak,57.79,-152.4072,1.73,44,0,6.69,US,1705572622
147,sambava,-14.2667,50.1667,30.51,63,86,4.05,MG,1705572473
148,st. john's,47.5649,-52.7093,-1.23,71,75,13.38,CA,1705572622
149,georgetown,5.4112,100.3354,31.96,62,20,1.03,MY,1705572493
150,cidreira,-30.1811,-50.2056,22.91,93,100,7.6,BR,1705572622
151,akjoujt,19.6969,-14.4164,25.78,7,54,5.54,MR,1705572622
152,loango,-4.6719,11.8312,29.23,68,11,1.2,CG,1705572622
153,kristiansund,63.1115,7.732,-3.97,93,75,2.57,NO,1705572622
154,crane,31.3974,-102.3501,8.75,32,18,3.47,US,1705572622
155,tura,25.5198,90.2201,19.65,48,66,1.72,IN,1705572622
156,kerikeri,-35.2268,173.9474,22.17,87,4,2.95,NZ,1705572623
157,labrador city,52.9463,-66.9114,-17.05,71,75,5.14,CA,1705572423
158,paita,-5.0892,-81.1144,22.81,85,57,4.36,PE,1705572423
159,port lincoln,-34.7333,135.8667,16.14,71,11,6.37,AU,1705572623
160,huarmey,-10.0681,-78.1522,22.5,85,100,3.75,PE,1705572623
161,gdov,58.7406,27.8122,-6.29,93,100,7.97,RU,1705572609
162,banjar,-8.19,114.9675,28.17,82,100,1.67,ID,1705572623
163,okha,53.5739,142.9478,-27.05,99,39,3.0,RU,1705572623
164,kyzylorda,44.8528,65.5092,-1.99,59,0,1.0,KZ,1705572623
165,bonthe,7.5264,-12.505,28.41,72,12,1.57,SL,1705572623
166,holualoa,19.6228,-155.9522,19.91,90,75,1.54,US,1705572623
167,utrik,11.2278,169.8474,25.97,75,92,6.06,MH,1705572623
168,weno,7.4515,151.8468,27.97,83,40,3.6,FM,1705572624
169,twon-brass,4.3151,6.2418,28.86,63,6,0.25,NG,1705572624
170,bor,56.3567,44.0669,-14.04,94,56,1.65,RU,1705572624
171,constantia,44.1833,28.65,9.28,89,100,4.75,RO,1705572497
172,herkimer,43.0256,-74.986,-6.78,67,100,3.58,US,1705572624
173,port elizabeth,-33.918,25.5701,26.17,57,37,2.24,ZA,1705572624
174,ponta delgada,37.7333,-25.6667,13.4,67,40,3.6,PT,1705572453
175,san jose de jachal,-30.2406,-68.7469,19.13,49,0,1.03,AR,1705572624
176,santa cruz,-17.8,-63.1667,22.7,100,75,6.17,BO,1705572624
177,tinghir,31.5157,-5.5343,15.96,17,23,4.13,MA,1705572624
178,kamyaran,34.7956,46.9355,10.48,38,86,0.96,IR,1705572624
179,tocaima,4.4582,-74.6343,24.16,58,95,1.51,CO,1705572625
180,swakopmund,-22.6833,14.5333,19.43,78,58,2.68,NA,1705572360
181,laghouat,33.8,2.8651,17.79,22,34,2.0,DZ,1705572625
182,harper,4.375,-7.7169,29.41,65,39,2.24,LR,1705572425
183,palmer,42.1584,-72.3287,-8.07,51,0,3.6,US,1705572625
184,kurumkan,54.3,110.3,-21.6,90,48,0.45,RU,1705572625
185,jacmel,18.2342,-72.5347,23.91,81,3,2.42,HT,1705572625
186,stettler,52.3168,-112.7186,-20.7,98,99,4.06,CA,1705572625
187,papao,-17.75,-149.55,25.82,78,28,9.17,PF,1705572625
188,ust-nera,64.5667,143.2,-43.31,94,98,0.67,RU,1705572426
189,saint-philippe,-21.3585,55.7679,28.77,69,75,2.86,RE,1705572625
190,tazovsky,67.4667,78.7,-13.82,85,100,8.09,RU,1705572625
191,ontinyent,38.8167,-0.6167,18.51,59,75,9.62,ES,1705572426
192,labuan,5.2767,115.2417,27.35,84,100,8.85,MY,1705572370
193,tabuk,17.4189,121.4443,22.29,88,14,1.26,PH,1705572426
194,at taj,24.2049,23.2857,20.35,17,0,1.13,LY,1705572626
195,melitopol,46.8422,35.3731,7.76,87,90,8.84,UA,1705572626
196,pinhao,-25.6956,-51.6597,18.93,98,56,0.83,BR,1705572626
197,chernyshevskiy,63.0128,112.4714,-42.24,100,81,1.14,RU,1705572626
198,parakou,9.3372,2.6303,29.91,8,0,3.23,BJ,1705572626
199,hailin,44.5833,129.4167,-18.92,95,6,0.89,CN,1705572523
200,hilo,19.7297,-155.09,22.92,87,75,1.54,US,1705572626
201,bonga,7.2833,36.2333,23.86,50,100,1.29,ET,1705572427
202,quellon,-43.1167,-73.6167,8.77,90,5,2.76,CL,1705572626
203,benguela,-12.5763,13.4055,27.58,64,68,3.21,AO,1705572626
204,puerto ayora,-0.7393,-90.3518,25.31,97,100,2.68,EC,1705572427
205,fale old settlement,-9.3852,-171.2468,29.57,70,99,6.89,TK,1705572427
206,malvan,16.0667,73.4667,25.6,62,2,5.35,IN,1705572627
207,daru,-9.0763,143.2092,27.25,84,100,2.04,PG,1705572428
208,zakamensk,50.3741,103.2863,-20.3,99,94,0.2,RU,1705572627
209,ancud,-41.8697,-73.8203,9.02,90,3,1.51,CL,1705572627
210,mammoth lakes,37.6485,-118.9721,-3.14,64,0,1.54,US,1705572627
211,grantsville,40.5999,-112.4644,3.94,87,100,2.21,US,1705572627
212,alofi,-19.0595,-169.9187,26.43,83,100,7.93,NU,1705572513
213,obsharovka,53.125,48.8531,-13.9,91,20,1.6,RU,1705572627
214,murzuq,25.9155,13.9184,21.54,11,8,2.06,LY,1705572627
215,fortuna,40.5982,-124.1573,9.51,98,0,3.6,US,1705572627
216,amga,60.8953,131.9608,-34.28,99,100,1.09,RU,1705572627
217,akureyri,65.6835,-18.0878,-17.4,99,86,1.41,IS,1705572429
218,aibak,36.2647,68.0155,12.97,43,0,2.51,AF,1705572628
219,novodvinsk,64.4165,40.8122,-13.45,95,88,3.17,RU,1705572493
220,xuchang,34.0167,113.8167,2.27,79,100,6.24,CN,1705572628
221,gutierrez zamora,20.45,-97.0833,12.95,85,100,1.07,MX,1705572429
222,ouddorp,51.8117,3.9347,3.99,84,45,7.71,NL,1705572429
223,puerto baquerizo moreno,-0.9,-89.6,24.76,89,92,4.76,EC,1705572628
224,perevoz,55.5961,44.5446,-15.81,95,29,1.72,RU,1705572628
225,saint-louis,16.3333,-15.0,27.92,9,34,4.47,SN,1705572628
226,selfoss,63.9331,-20.9971,-8.86,92,100,4.89,IS,1705572628
227,banda aceh,5.5577,95.3222,28.74,72,88,2.15,ID,1705572430
228,happy valley-goose bay,53.3168,-60.3315,-8.83,73,100,11.32,CA,1705572628
229,kapit,2.0167,112.9333,25.87,91,100,1.54,MY,1705572629
230,ginir,7.1333,40.7,23.06,39,47,2.87,ET,1705572629
231,rawlins,41.7911,-107.2387,-0.36,84,100,14.9,US,1705572430
232,sao felix do xingu,-6.6447,-51.995,22.37,98,100,0.35,BR,1705572629
233,piti village,13.4626,144.6933,26.49,68,40,8.23,GU,1705572629
234,margate,51.3813,1.3862,0.39,73,3,4.02,GB,1705572629
235,westport,41.1415,-73.3579,-4.39,54,0,5.66,US,1705572629
236,tara,56.8944,74.371,-15.39,86,100,4.85,RU,1705572629
237,berezovo,63.9381,65.0419,-13.19,92,100,6.39,RU,1705572629
238,port moresby,-9.4431,147.1797,26.59,83,100,2.95,PG,1705572629
239,horqueta,-23.3428,-57.0597,27.58,68,64,2.26,PY,1705572630
240,kingston,17.997,-76.7936,25.53,78,20,1.03,JM,1705572630
241,bechem,7.0903,-2.025,32.11,35,0,0.89,GH,1705572630
242,carsamba,41.1989,36.7219,15.86,51,0,4.12,TR,1705572630
243,yokadouma,3.5167,15.05,33.26,13,4,2.09,CM,1705572538
244,sarmiento,-45.5882,-69.07,13.24,55,90,9.31,AR,1705572630
245,severo-yeniseyskiy,60.3725,93.0408,-21.35,100,97,0.89,RU,1705572431
246,sabang,5.8933,95.3214,27.7,80,72,8.34,ID,1705572630
247,greymouth,-42.4667,171.2,18.01,95,100,2.69,NZ,1705572630
248,fort stockton,30.894,-102.8793,15.42,27,0,0.0,US,1705572630
249,turkmenbasy,40.0222,52.9552,8.34,59,39,6.09,TM,1705572630
250,porto novo,6.4965,2.6036,31.89,45,1,1.13,BJ,1705572631
251,broken hill,-31.95,141.4333,23.55,31,0,4.99,AU,1705572631
252,fisterra,42.9049,-9.2629,10.97,82,100,5.92,ES,1705572631
253,la libertad,-2.2333,-80.9,24.4,85,100,3.1,EC,1705572631
254,west bay,19.3667,-81.4167,26.11,87,2,0.89,KY,1705572631
255,al hazm,16.1641,44.7769,27.89,31,6,0.35,YE,1705572432
256,smithers,54.7804,-127.1743,-18.07,99,25,0.62,CA,1705572432
257,bintulu,3.1667,113.0333,26.76,88,100,3.38,MY,1705572631
258,luleburgaz,41.4039,27.3592,13.02,91,100,6.77,TR,1705572617
259,petropavlovsk-kamchatsky,53.0452,158.6483,-14.19,82,74,4.02,RU,1705572631
260,bozoum,6.3193,16.3799,31.4,11,4,3.67,CF,1705572631
261,parry sound,45.3501,-80.033,-12.37,96,100,1.84,CA,1705572631
262,sakakah,29.9697,40.2064,18.76,35,2,1.17,SA,1705572402
263,birao,10.2849,22.7882,30.92,8,25,4.53,CF,1705572632
264,mili,6.0815,171.735,27.87,81,100,5.56,MH,1705572632
265,kudahuvadhoo,2.6708,72.8944,26.98,66,24,2.32,MV,1705572433
266,hasaki,35.7333,140.8333,11.22,50,100,2.85,JP,1705572533
267,lakhdenpokh'ya,61.5198,30.1992,-7.36,93,100,8.05,RU,1705572632
268,uturoa,-16.7333,-151.4333,27.55,78,92,8.59,PF,1705572434
269,oban,56.4127,-5.4706,-4.05,93,40,3.6,GB,1705572632
270,ust'-kulom,61.6864,53.6902,-8.95,90,100,4.03,RU,1705572632
271,mabaruma,8.2,-59.7833,22.45,98,86,1.31,GY,1705572632
272,gobabis,-22.45,18.9667,30.92,17,1,3.84,NA,1705572632
273,kotel'nikovo,47.6317,43.1461,1.17,82,48,4.5,RU,1705572633
274,iqaluit,63.7506,-68.5145,-8.28,82,92,5.65,CA,1705572633
275,sirte,31.2089,16.5887,20.53,28,40,6.67,LY,1705572633
276,sao raimundo nonato,-9.0153,-42.6994,25.22,52,72,2.52,BR,1705572633
277,rakops,-21.0167,24.3333,29.09,44,96,4.99,BW,1705572435
278,ghanzi,-21.5667,21.7833,30.93,35,63,2.23,BW,1705572633
279,dera bugti,29.0307,69.151,21.94,15,2,2.31,PK,1705572508
280,williams lake,52.1415,-122.1445,-19.97,92,88,0.69,CA,1705572435
281,urucara,-2.5364,-57.76,23.68,85,55,1.35,BR,1705572633
282,ma'rib,15.4591,45.3253,29.13,21,0,2.02,YE,1705572633
283,port saint john's,-31.6229,29.5448,21.13,74,77,3.23,ZA,1705572633
284,mahina,-17.5065,-149.489,25.87,83,0,1.54,PF,1705572634
285,susanville,40.4163,-120.653,1.56,88,0,0.45,US,1705572634
286,rudbar,30.15,62.6,20.72,19,2,1.38,AF,1705572634
287,ashchysay,43.5542,68.8889,-0.28,87,6,1.04,KZ,1705572634
