City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kili,5.6439,169.1211,28.44,74,93,8.64,MH,1704295448
1,nemuro,43.3236,145.575,-1.99,68,100,2.97,JP,1704295448
2,villa yapacani,-17.4,-63.8333,29.47,69,100,0.21,BO,1704295448
3,broken hill,-31.95,141.4333,26.09,49,100,9.15,AU,1704295216
4,iqaluit,63.7506,-68.5145,-19.15,71,75,11.83,CA,1704295232
5,qaqortoq,60.7167,-46.0333,-4.96,78,100,2.97,GL,1704295448
6,zaragoza,41.6561,-0.8773,18.6,82,20,2.06,ES,1704295117
7,blackmans bay,-43.0167,147.3167,14.07,77,70,0.89,AU,1704295448
8,mount gambier,-37.8333,140.7667,15.67,87,100,4.92,AU,1704295449
9,raja,8.4596,25.678,31.46,13,30,3.2,SS,1704295449
10,akureyri,65.6835,-18.0878,2.96,75,75,1.03,IS,1704295208
11,ushuaia,-54.8,-68.3,15.79,66,0,2.57,AR,1704295448
12,bilibino,68.0546,166.4372,-34.37,100,70,0.79,RU,1704295449
13,flying fish cove,-10.4217,105.6791,25.82,88,40,1.54,CX,1704295449
14,vilyuysk,63.7553,121.6247,-37.78,100,91,1.34,RU,1704295449
15,thompson,55.7435,-97.8558,-25.91,76,20,2.57,CA,1704295449
16,whitehorse,60.7161,-135.0538,-12.72,83,100,1.03,CA,1704295449
17,rizokarpaso,35.6,34.375,17.24,72,25,7.81,CY,1704295449
18,utrik,11.2278,169.8474,26.85,77,97,10.13,MH,1704295449
19,rikaze,29.25,88.8833,-1.77,19,5,1.64,CN,1704295450
20,waitangi,-43.9535,-176.5597,13.23,90,93,3.29,NZ,1704295450
21,holualoa,19.6228,-155.9522,20.91,79,20,0.0,US,1704295450
22,luderitz,-26.6481,15.1594,22.66,76,15,6.25,NA,1704295450
23,kavaratti,10.5669,72.642,27.61,75,63,3.43,IN,1704295450
24,bethel,41.3712,-73.414,3.65,71,0,3.09,US,1704295322
25,cannonvale,-20.2833,148.7,26.66,84,14,2.04,AU,1704295450
26,sehwan,26.4279,67.863,18.72,25,0,1.65,PK,1704295450
27,georgetown,5.4112,100.3354,28.97,79,20,1.54,MY,1704295450
28,leh,34.1667,77.5833,-6.17,33,57,0.77,IN,1704295451
29,grytviken,-54.2811,-36.5092,2.73,64,97,1.26,GS,1704295451
30,st. john's,47.5649,-52.7093,1.82,84,100,4.63,CA,1704295451
31,sioux city,42.5,-96.4003,-4.23,88,100,3.6,US,1704295265
32,turpan,42.9333,89.1667,-1.51,54,94,0.33,CN,1704295451
33,wynyard,-41.0,145.7167,15.02,82,71,3.36,AU,1704295451
34,kapuskasing,49.4169,-82.4331,-11.95,85,100,3.6,CA,1704295451
35,puerto natales,-51.7236,-72.4875,18.25,36,75,4.63,CL,1704295330
36,hanzhong,33.0728,107.0303,6.34,66,1,1.2,CN,1704295451
37,college,64.8569,-147.8028,-17.82,74,20,3.09,US,1704295451
38,bredasdorp,-34.5322,20.0403,21.24,76,100,7.93,ZA,1704295451
39,punta arenas,-53.15,-70.9167,16.01,44,0,6.69,CL,1704295451
40,kapa'a,22.0752,-159.319,23.18,83,0,6.69,US,1704295293
41,isafjordur,66.0755,-23.124,2.02,75,0,1.03,IS,1704295452
42,adamstown,-25.066,-130.1015,23.75,84,100,3.12,PN,1704295452
43,port elizabeth,-33.918,25.5701,22.28,93,100,4.63,ZA,1704295267
44,olonkinbyen,70.9221,-8.7187,-1.27,95,100,8.11,SJ,1704295452
45,ventspils,57.3894,21.5606,-10.04,85,20,5.66,LV,1704295257
46,pochinki,54.6988,44.8668,-15.65,96,100,4.86,RU,1704295452
47,port-aux-francais,-49.35,70.2167,4.81,74,55,16.07,TF,1704295452
48,san patricio,28.017,-97.5169,11.2,81,52,5.64,US,1704295452
49,ilulissat,69.2167,-51.1,-3.99,39,20,7.2,GL,1704295452
50,nadym,65.5333,72.5167,-24.42,92,54,7.19,RU,1704295452
51,edinburgh of the seven seas,-37.0676,-12.3116,17.19,98,100,2.4,SH,1704295453
